Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Acoustic,WIP,

First Day Of My Life,Bright Eyes,2005,Folk,95,25,60,37,90,,Contemporary\Bright Eyes\First Day Of My Life.txt
Flightless Bird American Mouth,Iron and Wine,2008,Rock,155,40,37,18,83,,Contemporary\Iron and Wine\Flightless Bird American Mouth.txt
Photographs and Memories,Jim Croce,1972,Rock,123,23,58,49,65,,Contemporary\Jim Croce\Photographs And Memories.txt
Blackbird,Beatles,1968,Folk,93,11,69,46,76,,Contemporary\The Beatles\Blackbird.txt
All I Have To Do Is Dream,Everly Brothers,1958,Rock 'n' roll,96,46,53,53,84,,Contemporary\Everly Brothers\All I Have To Do Is Dream.txt
Until I Found You,Stephen Sanchez,2022,Alternative,101,51,54,23,73,WIP,Contemporary\Stephen Sanchez\Until I Found You.txt
Earth Angel,Penguins,1954,RnB,187,65,23,31,24,,Contemporary\The Penguins\Earth Angel.txt
Beautiful Tango,Hindi Zahra,2010,Soul,126,38,75,65,98,,Contemporary\Hindi Zahra\Beautiful Tango.txt
Besame Mucho,Andrea Bocelli,1940,Latin,95,50,52,38,89,,Contemporary\Andrea Bocelli\Besame Mucho.txt
Smooth Operator,Sade,1984,Jazz,120,56,79,96,37,,Contemporary\Sade\Smooth Operator.txt
Everything I Own,Bread,1972,Rock,79,34,37,45,74,,Contemporary\Bread\Everything I Own.txt
Budapest,George Ezra,2013,Rock,128,46,72,39,8,,Contemporary\George Ezra\Budapest.txt
1973,James Blunt,2007,Rock,123,67,72,77,7,,Contemporary\James Blunt\1973.txt
Grayscale,Skye Zentz,2012,Folk,83,31,54,32,87,,Contemporary\Skye Zentz\Grayscale.txt
Chiquitita,ABBA,1979,Pop,84,55,50,37,73,WIP,Contemporary\ABBA\Chiquitita.txt
Count On Me,Bruno Mars,2010,Pop,89,39,59,50,85,,Contemporary\Bruno Mars\Count On Me.txt
Africa,Toto,2002,Rock,93,37,67,73,26,,Contemporary\Toto\Africa.txt
A Thousand Miles,Vanessa Carlton,2002,Pop,95,83,56,27,32,,Contemporary\Vanessa Carlton\A Thousand Miles.txt
Lucky,Jason Mraz,2009,Pop,130,41,63,67,29,,Contemporary\Jason Mraz\Lucky.txt
Have You Ever Seen The Rain,CCR,1971,Rock,116,47,74,89,9,,Contemporary\CCR\Have You Ever Seen The Rain.txt
I'll Be There For You ("Friends" theme),Rembrandts,1995,Rock,191,71,29,75,4,,Contemporary\The Rembrandts\I'll Be There For You.txt
Brown Eyed Girl,Van Morrison,1967,Rock,151,58,49,91,19,,Contemporary\Van Morrison\Brown Eyed Girl.txt
Kiss Me,Sixpence None The Richer,2002,Rock,100,75,53,42,2,,Contemporary\Sixpence None The Richer\Kiss Me.txt
Enjoy The Ride,Morcheeba,2008,Rock,85,52,55,46,20,,Contemporary\Morcheeba\Enjoy The Ride.txt
Big Bang,Rock Mafia,2010,Pop,96,82,90,89,12,,Contemporary\Rock Mafia\Big Bang.txt
Crazy,Gnarles Barkley,2006,Soul,112,74,84,61,2,,Contemporary\Gnarls Barkley\Crazy.txt
Love You Like A Love Song,Selena Gomez,2011,Pop,117,68,86,92,8,,Contemporary\Selena Gomez\Love You Like A Love Song.txt
Baby One More Time,Britney Spears,1998,Pop,93,70,76,91,20,,Contemporary\Britney Spears\Baby One More Time.txt
New Light,John Mayer,2011,Rock,124,69,83,85,32,,Contemporary\John Mayer\New Light.txt
Dancing In The Moonlight,Toploader,1999,Pop,119,86,63,87,6,,Contemporary\Toploader\Dancing in the Moonlight.txt
More Than Words,Extreme,1991,Rock,92,13,63,24,47,,Contemporary\Extreme\More Than Words.txt
Open Book,Mikey McCleary,2015,Pop,78,36,56,45,94,,Contemporary\Mikey McCleary\Open Book.txt
Ten Guitars,Engelbert Humperdinck,1966,Pop,134,48,62,85,66,,Contemporary\Engelbert Humperdinck\Ten Guitars.txt
The Animal Song,Savage Garden,1999,Pop,116,67,65,83,6,,Contemporary\Savage Garden\The Animal Song.txt
The Show,Lenka,2008,Pop,123,59,75,59,26,WIP,Contemporary\Lenka\The Show.txt
This Is The Life,Amy MacDonald,2007,Rock,95,88,62,86,27,,Contemporary\Amy MacDonald\This Is The Life.txt
Top Of The World,Carpenters,1972,Pop,184,34,38,69,81,,Contemporary\The Carpenters\Top Of The World.txt
Escape (Pina Colada),Rupert Holmes,1979,Rock,139,51,84,95,47,,Contemporary\Rupert Holmes\Escape.txt
Valerie,Amy Winehouse ft. Mark Ronson,2007,Pop,106,83,70,89,0,WIP,Contemporary\Amy Winehouse\Valerie.txt
Brandy,Looking Glass,1972,Rock,125,63,72,83,40,,Contemporary\Looking Glass\Brandy.txt
You And Me,Lifehouse,2005,Rock,140,43,46,35,11,,Contemporary\Lifehouse\You and Me.txt
The Way I Am,Ingrid Michaelson,2007,Folk,120,26,88,32,77,,Contemporary\Ingrid Michaelson\The Way I Am.txt
You're Still The One,Shania Twain,1997,Country,134,49,59,63,36,,Contemporary\Shania Twain\You're Still The One.txt
I Will Follow You Into The Dark,Death Cab for Cutie,2006,Rock,80,21,52,49,92,,Contemporary\Death Cab for Cutie\I Will Follow You Into The Dark.txt
A Thousand Years,Christina Perri,2011,Soundtrack,139,41,42,16,31,,Contemporary\Christina Perri\A Thousand Years.txt
Make You Feel My Love,Adele,1997,Rock,65,17,32,10,91,,Contemporary\Adele\Make You Feel My Love.txt

